symbol,interval,open,high,low,close,adjusted_close,volume
HSPX.LSE,d,774.68,782.17,774.68,778.6263,645.7645,15313
HSPX.LSE,d,782.5,788.97,781.44,788.94,654.3183,17226
HSPX.LSE,d,786.385,789.74,779.2,779.2525,646.2839,37865
HSPX.LSE,d,776.867,776.867,776.445,776.6075,644.0902,4306
HSPX.LSE,d,791.318,799.25,791.318,795.28,659.5765,107894
HSPX.LSE,d,799.91,802.42,797.89,800.22,663.6736,15914
HSPX.LSE,d,799.245,799.495,787.9513,787.9513,653.4983,53097
HSPX.LSE,d,777.36,777.74,768.72,769.3163,638.0431,221915
HSPX.LSE,d,777.428,781.23,772.15,780.0875,646.9764,85367
HSPX.LSE,d,772.975,786.853,772.74,786.6375,652.4087,360426
HSPX.LSE,d,791.5,792.23,782.395,782.395,648.8901,22083
HSPX.LSE,d,778.938,786.628,778.46,781.835,648.4257,56754
HSPX.LSE,d,788.25,795.07,787.1763,787.1763,652.8556,144006
HSPX.LSE,d,789.22,790.11,784.72,787.9475,653.4952,14462
HSPX.LSE,d,781.75,785.553,780.15,781.5713,648.207,165544
HSPX.LSE,d,787.803,792.425,787.803,792.425,657.2087,11338
HSPX.LSE,d,798.0,800.39,794.065,796.4,660.5054,9972
HSPX.LSE,d,789.653,797.563,785.81,793.8675,658.405,319180
HSPX.LSE,d,799.923,804.15,793.74,800.9263,664.2593,419946
HSPX.LSE,d,790.713,794.45,784.175,786.7413,652.4948,56161
HSPX.LSE,d,778.242,780.063,775.53,778.2525,645.4545,65104
HSPX.LSE,d,768.453,772.953,763.503,764.13,633.7418,41185
HSPX.LSE,d,771.37,771.83,762.1525,762.1525,632.1018,26197
HSPX.LSE,d,761.688,761.688,756.6738,756.6738,627.5579,98228
HSPX.LSE,d,758.315,759.36,753.43,755.2713,626.3947,108495
HSPX.LSE,d,751.148,761.73,749.18,760.7813,630.9645,59313
HSPX.LSE,d,768.0,776.24,766.5,775.7125,643.3479,96074
HSPX.LSE,d,771.273,779.01,771.273,774.4475,642.2988,3387819
HSPX.LSE,d,774.82,793.98,771.4,792.6463,657.3922,103632
HSPX.LSE,d,797.295,800.82,795.84,797.6788,661.566,40396
HSPX.LSE,d,808.895,811.38,806.905,811.2488,672.8204,91224
HSPX.LSE,d,809.878,812.75,809.62,811.7288,673.2185,16823
HSPX.LSE,d,810.805,813.168,809.93,812.5475,673.8975,18914
HSPX.LSE,d,814.745,815.83,800.18,805.1713,667.78,17400
HSPX.LSE,d,810.303,812.22,802.8963,802.8963,665.8932,57391
HSPX.LSE,d,798.21,807.4413,797.46,807.4413,669.6626,26565
HSPX.LSE,d,807.955,811.38,796.5,796.9838,660.9896,9198
HSPX.LSE,d,802.64,806.82,799.78,804.945,667.5923,18431
HSPX.LSE,d,799.23,801.39,792.505,792.505,657.275,59046
HSPX.LSE,d,793.945,795.37,790.84,793.565,658.1541,164668
HSPX.LSE,d,795.365,799.22,795.128,797.1425,661.1212,29546
